NULL;6932;3553;2;4000;NULL
NULL;6932;4419;1;3000;NULL
NULL;6933;3544;17;50000;NULL
NULL;6933;3984;4;10000;NULL
NULL;6933;4423;2;5000;NULL
NULL;6934;5038;1;3000;NULL
NULL;6934;3554;9;25000;NULL
NULL;6934;3981;1;2000;NULL
NULL;6934;4535;10;29000;NULL
NULL;6934;4435;13;37000;NULL
NULL;6934;3988;1;2500;NULL
NULL;6934;4421;1;500;NULL
NULL;6935;4436;1;3000;NULL
NULL;6936;4420;1;3000;NULL
NULL;6936;3581;1;500;NULL
NULL;6936;3553;1;1000;NULL
NULL;6936;5042;1;2000;NULL
NULL;6937;3544;1;500;NULL
NULL;6937;3541;1;2000;NULL
NULL;6938;3985;1;250;NULL
NULL;6938;4435;1;800;NULL
NULL;6938;3988;2;5000;NULL
NULL;6939;3553;2;2400;NULL
NULL;6939;4415;1;1500;NULL
NULL;6939;5085;4;5000;NULL
NULL;6939;4534;5;6200;NULL
NULL;6939;4420;5;7500;NULL
NULL;6939;5042;2;2215;NULL
NULL;6939;3561;2;2000;NULL
NULL;6939;4419;4;5000;NULL
NULL;6939;3984;1;800;NULL
NULL;6939;3559;2;3000;NULL
NULL;6939;3544;2;2640;NULL
NULL;6939;3541;2;2400;NULL
NULL;6939;4423;2;1800;NULL
NULL;6939;4758;2;2000;NULL
NULL;6939;3981;4;5500;NULL
NULL;6939;4434;1;800;NULL
NULL;6939;4435;2;2000;NULL
NULL;6939;5038;8;12000;NULL
NULL;6939;3985;1;1270;NULL
NULL;6939;4421;1;150;NULL
NULL;6939;3562;1;650;NULL
NULL;6939;3988;1;520;NULL
NULL;6940;4436;2;3000;NULL
NULL;6941;4436;2;2000;NULL
NULL;6942;4436;1;1000;NULL
NULL;6943;4420;1;300;NULL
NULL;6944;3554;2;4000;NULL
NULL;6944;4415;14;27800;NULL
NULL;6945;5038;3;4500;NULL
NULL;6946;3544;1;500;NULL
NULL;6947;3981;1;800;NULL
NULL;6947;4420;1;1000;NULL
NULL;6947;4423;1;500;NULL
NULL;6947;4419;1;1190;NULL
NULL;6948;5085;2;2000;NULL
NULL;6949;4436;1;1000;NULL
NULL;6949;3981;1;350;NULL
NULL;6949;4420;1;1500;NULL
NULL;6949;3554;1;5000;NULL
NULL;6949;4419;1;850;NULL
NULL;6950;3561;5;12500;NULL
NULL;6950;5038;57;170000;NULL
NULL;6950;3985;7;20000;NULL
NULL;6950;3984;4;11000;NULL
NULL;6950;4423;9;27000;NULL
NULL;6950;4421;1;100;NULL
NULL;6950;5042;6;17000;NULL
NULL;6950;3553;3;8000;NULL
NULL;6950;3559;1;3000;NULL
NULL;6950;4420;3;9000;NULL
NULL;6950;4434;2;5000;NULL
NULL;6950;3562;4;11400;NULL
NULL;6951;3561;1;2500;NULL
NULL;6951;4535;5;14000;NULL
NULL;6951;5038;7;20000;NULL
NULL;6951;5042;4;10000;NULL
NULL;6951;3553;1;2000;NULL
NULL;6951;4420;6;16000;NULL
NULL;6951;3544;4;10000;NULL
NULL;6951;3562;1;400;NULL
NULL;6952;3561;1;1000;NULL
NULL;6952;4535;4;7000;NULL
NULL;6952;3985;1;1270;NULL
NULL;6952;4534;4;6200;NULL
NULL;6952;4758;1;1000;NULL
NULL;6952;5085;4;7000;NULL
NULL;6952;3541;2;2400;NULL
NULL;6952;5042;1;1715;NULL
NULL;6952;3553;2;4000;NULL
NULL;6952;4415;4;7800;NULL
NULL;6952;3559;3;5000;NULL
NULL;6952;4435;1;2000;NULL
NULL;6952;3988;1;1050;NULL
NULL;6952;4420;9;17500;NULL
NULL;6953;3561;1;1000;NULL
NULL;6953;4758;1;1000;NULL
NULL;6953;5085;2;3000;NULL
NULL;6953;5042;1;500;NULL
NULL;6953;3553;1;800;NULL
NULL;6953;4415;1;1500;NULL
NULL;6953;4420;4;8000;NULL
NULL;6954;4534;12;47000;NULL
NULL;6954;4415;1;4000;NULL
NULL;6954;3559;1;2500;NULL
NULL;6954;4420;12;45000;NULL
NULL;6955;4420;10;40000;NULL
NULL;6956;3981;1;3;NULL
NULL;6956;3544;1;5;NULL
NULL;6956;4535;1;6;NULL
NULL;6956;3554;1;5;NULL
NULL;6956;4419;1;2;NULL
NULL;6956;4420;1;15;NULL
NULL;6956;3581;1;2;NULL
NULL;6956;4434;1;1;NULL
NULL;6956;3985;1;4;NULL
NULL;6956;3561;1;3;NULL
NULL;6956;4758;1;2;NULL
NULL;6957;4415;1;4;NULL
NULL;6957;3544;1;4;NULL
NULL;6957;4534;1;2;NULL
NULL;6957;4535;1;13;NULL
NULL;6957;5038;1;34;NULL
NULL;6957;5040;1;5;NULL
NULL;6957;5039;1;5;NULL
NULL;6957;3554;1;8;NULL
NULL;6957;4419;1;4;NULL
NULL;6957;4420;1;4;NULL
NULL;6957;3581;1;2;NULL
NULL;6957;3559;1;7;NULL
NULL;6957;3981;1;4;NULL
NULL;6957;3988;1;3;NULL
NULL;6957;4758;1;3;NULL
NULL;6957;3562;1;3;NULL
NULL;6957;4435;1;2;NULL
NULL;6957;3561;1;4;NULL
NULL;6957;4434;1;1;NULL
NULL;6957;3985;1;1;NULL
NULL;6957;3553;1;4;NULL
NULL;6957;4423;1;2;NULL
NULL;6957;5042;1;5;NULL
NULL;6957;3541;1;2;NULL
